Day,Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,Slot 6,Slot 7
Monday,NA,NA,NA,NA,NA,NA,NA
Tuesday,"cs2172 AKL","cs2172 AKL","cs2172 AKL","cs2104 AM",NA,"cs2103 AKL",NA
Wednesday,"cs2171(GX/GY)SKM","cs2171(GX/GY)SKM","cs2171(GX/GY)SKM","cs2104 AM","cs2103 AKL",NA,"cs2101 TP"
Thursday,"cs2101 TP","cs2101 TP",NA,"cs2102 SKM","cs2173(GX/GY)AM","cs2173(GX/GY)AM","cs2173(GX/GY)AM"
Friday,"cs2103 AKL","cs2102 SKM","cs2102 SKM","cs2101 TP",NA,"cs2104 AM",NA
